County,EV_Count,Population,Median_Income,Station_Count,EV_Count_Norm,Pop_Norm,Gap
Richmond,1,100000,50000,,0.0,0.0,
Riverside,6,100000,50000,,8.474719910506957e-05,0.0,
Rock Island,1,100000,50000,,0.0,0.0,
Rockdale,1,100000,50000,,0.0,0.0,
Rockingham,1,100000,50000,,0.0,0.0,
Sacramento,1,100000,50000,,0.0,0.0,
Salt Lake,4,100000,50000,,5.0848319463041746e-05,0.0,
San Bernardino,2,100000,50000,,1.6949439821013915e-05,0.0,
San Diego,23,100000,50000,,0.00037288767606230615,0.0,
San Juan,721,100000,50000,,0.01220359667113002,0.0,
San Mateo,1,100000,50000,,0.0,0.0,
Santa Barbara,1,100000,50000,,0.0,0.0,
Santa Clara,5,100000,50000,,6.779775928405566e-05,0.0,
Santa Cruz,1,100000,50000,,0.0,0.0,
Sarasota,1,100000,50000,,0.0,0.0,
Saratoga,1,100000,50000,,0.0,0.0,
Sarpy,1,100000,50000,,0.0,0.0,
Sevier,1,100000,50000,,0.0,0.0,
Sheridan,1,100000,50000,,0.0,0.0,
Skagit,1258,100000,50000,,0.02130544585501449,0.0,
Skamania,139,100000,50000,,0.0023390226952999206,0.0,
Snohomish,12434,100000,50000,,0.210732385294666,0.0,
Solano,2,100000,50000,,1.6949439821013915e-05,0.0,
Sonoma,2,100000,50000,,1.6949439821013915e-05,0.0,
Spokane,2792,100000,50000,,0.047305886540449836,0.0,
St. Clair,2,100000,50000,,1.6949439821013915e-05,0.0,
St. Louis,1,100000,50000,,0.0,0.0,
St. Mary's,1,100000,50000,,0.0,0.0,
St. Tammany,1,100000,50000,,0.0,0.0,
Stafford,3,100000,50000,,3.389887964202783e-05,0.0,
Stevens,142,100000,50000,,0.002389871014762962,0.0,
Suffolk,1,100000,50000,,0.0,0.0,
Sumter,2,100000,50000,,1.6949439821013915e-05,0.0,
Thurston,4126,100000,50000,,0.0699164392616824,0.0,
Tipton,1,100000,50000,,0.0,0.0,
Ventura,3,100000,50000,,3.389887964202783e-05,0.0,
Virginia Beach,2,100000,50000,,1.6949439821013915e-05,0.0,
Wahkiakum,39,100000,50000,,0.0006440787131985287,0.0,
Walla Walla,312,100000,50000,,0.005271275784335327,0.0,
Washington,1,100000,50000,,0.0,0.0,
Wayne,1,100000,50000,,0.0,0.0,
Whatcom,2840,100000,50000,,0.0481194596518585,0.0,
Whitman,177,100000,50000,,0.002983101408498449,0.0,
Wichita,2,100000,50000,,1.6949439821013915e-05,0.0,
Williams,1,100000,50000,,0.0,0.0,
Yakima,617,100000,50000,,0.010440854929744572,0.0,
