"Label (Grouping)","Total:","Total:!!Less than $10,000","Total:!!$10,000 to $14,999","Total:!!$15,000 to $19,999","Total:!!$20,000 to $24,999","Total:!!$25,000 to $29,999","Total:!!$30,000 to $34,999","Total:!!$35,000 to $39,999","Total:!!$40,000 to $44,999","Total:!!$45,000 to $49,999","Total:!!$50,000 to $59,999","Total:!!$60,000 to $74,999","Total:!!$75,000 to $99,999","Total:!!$100,000 to $124,999","Total:!!$125,000 to $149,999","Total:!!$150,000 to $199,999","Total:!!$200,000 or more"
"    Margin of Error","±9,894","±6,612","±6,041","±5,608","±5,130","±5,266","±6,517","±5,810","±5,576","±5,918","±9,502","±9,661","±9,592","±8,557","±7,320","±7,417","±7,437"
"Iowa","","","","","","","","","","","","","","","","",""
"    Estimate","1,337,243","56,624","44,300","42,629","47,847","48,766","58,292","53,163","58,083","51,466","99,048","138,790","188,967","140,664","97,626","110,743","100,235"
"    Margin of Error","±6,646","±3,982","±2,968","±3,511","±3,523","±3,149","±4,045","±3,688","±3,646","±3,629","±4,714","±5,300","±6,970","±5,023","±4,667","±3,986","±5,159"
"Kansas","","","","","","","","","","","","","","","","",""
"    Estimate","1,188,340","54,323","38,137","37,858","45,891","44,714","52,305","45,495","51,326","47,639","89,319","123,248","161,598","122,232","82,454","94,570","97,231"
"    Margin of Error","±5,857","±4,557","±3,609","±3,814","±3,586","±3,761","±3,581","±3,511","±3,666","±3,343","±5,161","±5,517","±5,486","±5,704","±4,049","±4,344","±4,633"
"Kentucky","","","","","","","","","","","","","","","","",""
"    Estimate","1,853,603","125,182","95,991","80,070","84,356","75,021","79,077","79,030","82,498","75,125","131,528","186,183","232,750","177,559","110,193","118,773","120,267"
"    Margin of Error","±7,950","±5,974","±5,129","±5,154","±4,981","±5,283","±5,358","±4,901","±5,047","±4,379","±5,860","±7,490","±7,381","±6,831","±4,922","±5,226","±5,354"
"Louisiana","","","","","","","","","","","","","","","","",""
"    Estimate","1,833,915","140,781","112,663","79,454","89,575","78,697","82,225","75,939","80,057","71,123","123,653","169,943","219,220","157,483","101,089","124,320","127,693"
"    Margin of Error","±8,374","±6,295","±5,745","±5,354","±5,573","±4,432","±5,480","±5,155","±5,489","±5,304","±6,584","±7,111","±9,255","±6,944","±5,101","±6,632","±5,522"
"Maine","","","","","","","","","","","","","","","","",""
"    Estimate","616,085","26,910","22,021","20,777","22,503","20,775","22,156","23,214","25,408","21,093","47,807","59,685","82,657","70,621","48,754","47,426","54,278"
"    Margin of Error","±5,376","±3,055","±2,294","±2,168","±2,155","±2,342","±2,335","±2,389","±2,599","±2,380","±3,728","±3,810","±4,817","±3,938","±4,164","±3,281","±3,602"
"Maryland","","","","","","","","","","","","","","","","",""
"    Estimate","2,384,715","120,905","59,156","52,689","49,372","57,636","59,292","63,007","65,645","61,117","130,819","200,745","284,039","262,177","193,313","279,906","444,897"
"    Margin of Error","±7,944","±6,787","±4,360","±4,376","±4,481","±4,884","±5,125","±4,806","±5,367","±5,038","±7,334","±7,464","±10,031","±8,414","±6,952","±9,256","±9,655"
"Massachusetts","","","","","","","","","","","","","","","","",""
"    Estimate","2,800,984","132,074","97,928","80,773","82,336","69,015","73,822","66,063","74,069","67,537","138,626","214,738","305,039","277,305","217,811","311,976","591,872"
"    Margin of Error","±8,760","±7,709","±6,615","±5,223","±5,377","±5,103","±4,709","±4,658","±5,466","±5,023","±6,879","±9,041","±9,815","±9,866","±8,870","±8,610","±12,149"
"Michigan","","","","","","","","","","","","","","","","",""
"    Estimate","4,107,809","237,133","161,732","138,843","154,887","139,029","160,745","155,646","175,894","151,534","302,298","426,505","539,089","409,743","278,710","324,307","351,714"
"    Margin of Error","±11,889","±6,781","±7,778","±5,313","±6,283","±6,199","±7,183","±5,582","±7,550","±6,585","±7,872","±11,048","±10,972","±9,188","±7,468","±9,126","±8,204"
"Minnesota","","","","","","","","","","","","","","","","",""
"    Estimate","2,344,432","88,850","68,531","63,125","65,718","60,321","75,399","77,267","75,972","73,970","163,431","215,994","328,773","261,147","193,232","244,114","288,588"
"    Margin of Error","±8,041","±4,707","±3,521","±4,414","±5,040","±4,220","±5,015","±4,078","±4,684","±4,527","±7,434","±6,972","±7,988","±7,708","±5,900","±7,060","±8,524"
"Mississippi","","","","","","","","","","","","","","","","",""
"    Estimate","1,166,617","86,871","74,192","57,442","62,656","52,021","55,384","46,551","54,931","50,018","89,710","106,573","142,685","96,929","64,820","61,680","64,154"
"    Margin of Error","±7,610","±4,974","±5,817","±4,397","±4,370","±3,951","±4,361","±3,781","±4,786","±4,451","±5,346","±5,931","±6,838","±4,660","±4,580","±4,600","±3,998"
"Missouri","","","","","","","","","","","","","","","","",""
"    Estimate","2,556,271","126,230","93,050","86,423","98,201","96,777","107,631","106,407","112,261","97,249","189,837","268,060","335,242","267,242","174,319","190,186","207,156"
"    Margin of Error","±10,804","±5,600","±4,917","±5,281","±5,235","±5,374","±5,634","±5,637","±5,336","±4,318","±5,971","±9,567","±9,794","±8,530","±7,209","±7,589","±7,041"
"Montana","","","","","","","","","","","","","","","","",""
"    Estimate","472,867","22,209","16,837","16,111","19,636","17,419","20,951","17,150","19,912","16,245","35,615","49,962","63,863","51,510","32,605","34,802","38,040"
"    Margin of Error","±4,532","±2,450","±2,013","±1,867","±1,848","±1,705","±2,235","±2,122","±2,150","±2,078","±3,501","±3,695","±3,611","±4,534","±2,422","±2,729","±2,851"
"Nebraska","","","","","","","","","","","","","","","","",""
"    Estimate","813,864","36,888","25,766","24,943","27,741","24,652","30,193","31,721","32,477","26,662","61,927","85,842","113,572","90,619","58,168","67,485","75,208"
"    Margin of Error","±4,244","±3,477","±2,425","±2,949","±2,592","±2,308","±2,590","±3,115","±2,697","±2,567","±3,317","±5,015","±4,602","±4,404","±3,158","±3,360","±4,070"
"Nevada","","","","","","","","","","","","","","","","",""
"    Estimate","1,224,685","67,036","30,606","32,318","41,173","41,772","46,574","43,012","44,525","41,991","86,178","127,170","167,396","134,092","88,269","107,413","125,160"
"    Margin of Error","±6,784","±5,008","±3,160","±3,847","±3,777","±4,214","±4,095","±4,015","±3,962","±3,948","±5,637","±6,310","±8,111","±7,015","±4,057","±5,843","±6,595"
"New Hampshire","","","","","","","","","","","","","","","","",""
"    Estimate","569,493","19,930","13,478","14,743","12,829","18,506","15,258","12,280","17,401","15,083","33,513","47,222","73,912","64,714","50,148","71,283","89,193"
"    Margin of Error","±5,108","±2,922","±2,410","±2,336","±2,158","±2,090","±2,183","±1,845","±2,148","±2,002","±2,695","±3,433","±4,774","±3,912","±3,189","±4,337","±4,151"
"New Jersey","","","","","","","","","","","","","","","","",""
"    Estimate","3,538,457","152,706","97,568","84,472","94,547","85,039","98,105","92,968","96,664","91,503","187,238","279,386","412,151","364,006","275,075","403,415","723,614"
"    Margin of Error","±8,891","±6,554","±6,129","±6,571","±5,308","±5,624","±6,291","±6,498","±5,942","±4,879","±7,243","±9,946","±10,967","±11,446","±9,206","±10,570","±11,561"
"New Mexico","","","","","","","","","","","","","","","","",""
"    Estimate","856,580","57,432","42,598","36,251","39,258","35,181","36,083","33,383","34,660","33,434","63,153","87,918","108,416","75,902","49,455","61,111","62,345"
"    Margin of Error","±6,374","±4,694","±3,867","±3,987","±3,564","±3,648","±3,699","±3,518","±3,439","±3,716","±5,178","±5,375","±5,815","±4,442","±4,346","±4,774","±4,174"
"New York","","","","","","","","","","","","","","","","",""
"    Estimate","7,809,267","496,122","311,903","235,399","261,804","237,855","264,418","234,799","251,456","231,240","454,835","643,983","899,006","726,472","556,956","761,586","1,241,433"
"    Margin of Error","±17,008","±13,078","±10,710","±10,548","±10,028","±12,528","±10,326","±9,919","±9,749","±8,181","±12,187","±15,936","±18,235","±15,216","±12,624","±16,803","±18,009"
"North Carolina","","","","","","","","","","","","","","","","",""
"    Estimate","4,392,669","228,947","159,451","147,595","159,790","148,845","181,717","182,427","181,803","160,497","327,263","440,022","570,652","427,566","299,121","348,735","428,238"
"    Margin of Error","±15,675","±9,211","±7,831","±7,273","±7,669","±7,115","±7,573","±8,160","±7,399","±7,594","±10,114","±12,561","±13,678","±11,741","±11,074","±10,358","±10,390"
"North Dakota","","","","","","","","","","","","","","","","",""
"    Estimate","338,059","15,690","11,218","9,587","13,016","11,012","13,254","11,730","11,919","11,913","26,690","29,400","47,389","36,015","28,807","29,882","30,537"
"    Margin of Error","±3,608","±2,193","±1,474","±1,499","±2,039","±1,630","±2,320","±2,131","±1,799","±1,725","±2,846","±2,798","±3,365","±3,178","±2,469","±2,733","±2,497"
"Ohio","","","","","","","","","","","","","","","","",""
"    Estimate","4,917,309","277,738","186,254","164,655","199,443","172,363","210,045","189,889","215,022","190,428","379,410","493,803","630,687","485,796","322,457","384,190","415,129"
"    Margin of Error","±10,812","±8,241","±8,210","±7,275","±7,595","±6,828","±7,344","±8,226","±8,692","±7,652","±11,183","±11,623","±13,812","±11,190","±9,335","±9,309","±9,837"
"Oklahoma","","","","","","","","","","","","","","","","",""
"    Estimate","1,589,105","105,441","66,987","62,121","69,379","63,147","72,124","67,770","71,411","60,845","123,644","157,959","207,840","158,685","93,733","104,559","103,460"
"    Margin of Error","±5,726","±4,729","±3,365","±2,823","±3,981","±3,939","±3,917","±3,906","±3,674","±3,657","±4,828","±5,555","±5,954","±5,418","±3,820","±4,448","±3,645"
"Oregon","","","","","","","","","","","","","","","","",""
"    Estimate","1,752,050","87,214","59,883","52,226","59,882","49,612","58,964","57,422","62,775","52,845","117,595","163,401","236,882","187,466","135,333","164,192","206,358"
"    Margin of Error","±6,896","±5,520","±4,223","±3,591","±4,916","±4,034","±4,396","±3,937","±3,890","±4,160","±5,447","±7,354","±7,380","±6,577","±6,128","±6,084","±7,269"
"Pennsylvania","","","","","","","","","","","","","","","","",""
"    Estimate","5,324,209","289,261","195,070","175,774","194,461","179,351","204,910","193,793","193,428","179,620","364,818","528,183","680,151","544,646","375,585","457,031","568,127"
"    Margin of Error","±13,443","±10,314","±7,682","±7,026","±8,625","±6,290","±8,005","±8,370","±7,283","±8,352","±9,335","±11,436","±13,925","±12,131","±9,495","±10,027","±11,513"
"Rhode Island","","","","","","","","","","","","","","","","",""
"    Estimate","443,980","22,127","19,155","13,121","12,241","10,325","14,491","14,548","10,981","12,307","24,930","43,363","59,981","43,241","39,599","45,459","58,111"
"    Margin of Error","±4,732","±2,959","±2,517","±2,071","±2,401","±1,812","±1,994","±2,817","±1,893","±2,458","±3,273","±4,051","±4,406","±4,436","±4,384","±3,662","±4,771"
"South Carolina","","","","","","","","","","","","","","","","",""
"    Estimate","2,177,733","133,911","85,044","71,906","83,862","84,525","86,758","85,768","83,669","84,086","168,691","222,041","286,100","221,063","145,507","157,488","177,314"
"    Margin of Error","±10,033","±7,652","±5,027","±4,926","±5,043","±5,827","±5,762","±5,203","±5,633","±5,939","±7,436","±8,651","±10,025","±7,787","±5,784","±6,167","±7,723"
"South Dakota","","","","","","","","","","","","","","","","",""
"    Estimate","378,559","16,230","13,332","14,199","12,636","14,123","14,444","14,458","16,936","13,448","28,161","39,896","52,118","42,347","27,909","28,841","29,481"
"    Margin of Error","±3,320","±2,107","±1,484","±1,951","±1,828","±1,976","±1,870","±1,968","±2,027","±2,223","±2,464","±3,309","±3,500","±3,320","±2,254","±2,230","±2,597"
"Tennessee","","","","","","","","","","","","","","","","",""
"    Estimate","2,889,226","161,247","119,641","100,074","115,962","106,855","113,900","114,294","120,683","112,172","215,905","287,297","377,486","289,487","199,057","208,057","247,109"
"    Margin of Error","±12,211","±7,065","±5,518","±6,925","±6,382","±5,904","±6,526","±5,916","±6,583","±6,496","±8,970","±9,024","±11,583","±9,749","±7,407","±8,352","±8,620"
"Texas","","","","","","","","","","","","","","","","",""
"    Estimate","11,260,645","591,916","368,608","323,365","396,421","350,173","419,896","404,986","424,666","378,681","800,913","1,116,154","1,429,609","1,147,312","813,611","989,792","1,304,542"
"    Margin of Error","±19,354","±15,476","±12,103","±9,044","±11,035","±10,764","±12,946","±10,955","±11,389","±12,556","±18,532","±19,884","±22,986","±20,577","±17,089","±20,640","±20,371"
"Utah","","","","","","","","","","","","","","","","",""
"    Estimate","1,167,591","37,347","24,159","19,888","28,743","30,241","30,069","34,107","35,020","32,907","69,623","111,089","170,462","151,043","106,398","134,400","152,095"
"    Margin of Error","±5,333","±3,404","±2,901","±2,777","±2,964","±3,009","±3,214","±3,482","±3,935","±2,978","±4,454","±4,869","±7,056","±6,110","±5,458","±5,825","±5,863"
"Vermont","","","","","","","","","","","","","","","","",""
